id,subj,nseq,ntrialsubj,ntrialseq,lasttrial,H,I,D,event,R,P_group,pred_trials,AL,ALV,slat,linger,dwell
338,49,10,112,8,14,-1.7925,1.1375,0.0059863,0,3.1781,60,1,0.0,,404.32,974.03,946.56
338,49,10,113,9,14,-1.7272,1.0,0.0042725,0,4.7875,60,1,3.0,0.0,806.4,96.199,789.8
338,49,10,114,10,14,-1.7783,2.7004,0.018434,0,3.1781,60,0,0.0,,281.81,750.91,2486.3
338,49,10,115,11,14,-1.7232,1.0,0.0032084,0,3.1781,60,1,2.0,0.0,687.03,60.225,873.2
338,49,10,116,12,14,-1.7806,2.9069,0.016571,0,3.1781,60,0,0.0,,555.81,642.21,1586.4
338,49,10,117,13,14,-1.7322,1.0,0.0024975,0,3.1781,60,1,1.0,0.0,597.76,10.96,913.2
338,49,10,118,14,14,-1.685,0.91754,0.001984,1,3.1781,60,1,0.0,,943.05,-13.648,543.3
339,49,11,119,1,5,-1.9219,2.0,0.078072,0,0.0,60,0,0.0,,567.38,973.72,923.16
339,49,11,120,2,5,-1.9183,2.3219,0.070299,0,0.0,60,1,2.0,0.0,899.26,1029.0,1629.8
339,49,11,121,3,5,-1.8424,1.585,0.028306,0,0.69315,60,1,1.0,1.0,-178.67,750.82,2846.3
339,49,11,122,4,5,-1.9056,2.8074,0.057355,0,0.69315,60,0,0.0,,696.73,569.81,1373.1
339,49,11,123,5,5,-1.8366,1.415,0.014536,0,1.7918,60,1,0.0,,1751.9,1158.5,906.56
340,50,1,1,1,10,-1.9219,2.0,0.078072,0,0.0,100,0,3.0,1.0,-176.48,750.04,1669.8
340,50,1,2,2,10,-1.7925,1.3219,0.029447,0,0.69315,100,1,3.0,1.0,-84.803,1041.4,1773.1
340,50,1,3,3,10,-1.6645,1.0,0.014772,0,1.7918,100,1,0.0,,453.8,751.07,2376.3
340,50,1,4,4,10,-1.5488,0.80735,0.00856,0,3.1781,100,1,0.0,,535.74,751.03,2402.9
340,50,1,5,5,10,-1.4466,0.67807,0.0054313,0,4.7875,100,1,,,,,
340,50,1,6,6,10,-1.3568,0.58496,0.0036716,0,6.5793,100,1,3.0,1.0,-526.67,751.1,6425.8
340,50,1,7,7,10,-1.2776,0.51457,0.002602,0,6.5793,100,1,0.0,,-4527.4,398.36,6425.8
