"subj" "seq" "trial" "sl" "ltime" "linger" "laway"
"575" 2 7 5 NA NA NA 2
"576" 2 7 6 NA NA NA 2
"577" 2 7 7 NA NA NA 2
"578" 2 7 8 NA NA NA 2
"579" 2 7 9 NA NA NA 2
"580" 2 7 10 NA NA NA 2
"581" 2 7 11 NA NA NA 2
"582" 2 7 12 NA NA NA 2
"583" 2 7 13 NA NA NA 2
"584" 2 7 14 NA NA NA 2
"585" 2 7 15 NA NA NA 2
"586" 2 8 1 0.629516902722025 -1.4152781907247 -2.2693986466304 0
"587" 2 8 2 1.99069273816754 -0.928806420709717 0.620953587215988 0
"588" 2 8 3 1.99979096652519 -2.02667864478949 -0.401180663747437 0
"589" 2 8 4 0.443346932239251 -0.0717368129652533 2.00595510094603 1
"590" 2 8 5 NA NA NA 2
"591" 2 8 6 NA NA NA 2
"592" 2 8 7 NA NA NA 2
"593" 2 8 8 NA NA NA 2
"594" 2 8 9 NA NA NA 2
"595" 2 8 10 NA NA NA 2
"596" 2 8 11 NA NA NA 2
"597" 2 8 12 NA NA NA 2
"598" 2 8 13 NA NA NA 2
"599" 2 8 14 NA NA NA 2
"600" 2 8 15 NA NA NA 2
"601" 2 9 1 NA NA NA 2
"602" 2 9 2 NA NA NA 2
"603" 2 9 3 NA NA NA 2
"604" 2 9 4 NA NA NA 2
"605" 2 9 5 NA NA NA 2
"606" 2 9 6 NA NA NA 2
"607" 2 9 7 NA NA NA 2
"608" 2 9 8 NA NA NA 2
"609" 2 9 9 NA NA NA 2
"610" 2 9 10 NA NA NA 2
"611" 2 9 11 NA NA NA 2
"612" 2 9 12 NA NA NA 2
"613" 2 9 13 NA NA NA 2
"614" 2 9 14 NA NA NA 2
"615" 2 9 15 NA NA NA 2
"616" 2 10 1 NA NA NA 2
"617" 2 10 2 0.588777057964989 -1.0677261468962 -1.1414217924864 0
"618" 2 10 3 1.0746022339783 -0.558094349760476 0.183187771730673 0
"619" 2 10 4 -0.0047982343051301 0.118287620817686 1.35927398103573 0
